output_file = "12-1-F-80-1.40-284.csv";

n_days = 80;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 0, 0, 14, 0, 0, 0, 0, 0, 21, 0, 12, 0, 0, 0, 11, 21, 0, 0, 0, 0, 8, 9, 25, 28, 18, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 7, 14, 0]
];
