lb,ub,bb_nodes,time,n_movements,n_reconfigurations,max_capacity,avg_capacity,n_shelves_used,gap,n_shelves,n_crops,n_time_units,instance_n,demand_mult,model
1,1,376,0.37866210899999997,16.753623188,11.142857142999999,0.9714285709999999,0.7244552059999999,1.0,0.0,7,1,60,104,1.2,unmet-demand
0,0,0,2.389099854,10.103448276,0.0,0.30952381,0.152953586,0.7142857140000001,0.0,7,2,80,3,1.0,reconfigurations
135,136,768414,3600.0,6.665297741,20.416666667,0.993055556,0.654447961,1.0,0.007352941176470588,12,3,80,133,1.3,unmet-demand
12,12,2367,12.250316895,11.048543689,14.833333332999999,0.47916666700000005,0.26248241899999997,1.0,0.0,12,4,80,354,1.9,used-shelves
0,0,0,1.698854004,9.12244898,0.0,0.48611111100000004,0.25788606399999997,0.916666667,0.0,12,2,60,14,1.0,reconfigurations
6,6,0,1.3244860840000001,0.925,1.888888889,0.324074074,0.167487107,0.666666667,0.0,9,2,80,40,1.1,used-shelves
5,5,4703,69.292624023,1.9175257730000002,0.41666666700000005,0.41666666700000005,0.24402250399999997,1.0,0.0,12,4,80,173,1.4,reconfigurations
159,161,3534106,3600.0,5.465317918999999,22.111111111,0.935185185,0.655210295,1.0,0.012422360248447204,9,3,60,272,1.7,unmet-demand
9,9,1064,5.696476074,18.684931507,9.166666667000001,0.5069444439999999,0.325094162,0.75,0.0,12,2,60,110,1.3,used-shelves
4,4,4864,40.203319092,8.482758621,0.333333333,0.430555556,0.271186441,1.0,0.0,12,3,60,57,1.1,reconfigurations
109,109,12104,10.512106934,5.594827586,14.666666667000001,0.981481481,0.631669805,1.0,0.0,9,2,60,301,1.8,unmet-demand
9,9,19596,135.966943848,7.208955223999999,0.75,0.465277778,0.23971519,1.0,0.0,12,3,80,55,1.1,reconfigurations
0,100,48983,3600.0,2.43902439,11.333333332999999,0.37962963,0.247802888,1.0,1.0,9,2,60,1,1.0,movements
3,3,44,2.8100410160000004,5.545454545,0.428571429,0.523809524,0.307707829,1.0,0.0,7,2,60,294,1.8,reconfigurations
0,0,0,0.824522949,4.356060606000001,0.0,0.537037037,0.289498359,0.8888888890000001,0.0,9,2,80,376,2.0,reconfigurations
8,8,0,1.5085119630000001,13.681818182,1.142857143,0.523809524,0.310734463,1.0,0.0,7,1,60,249,1.6,reconfigurations
9,9,0,4.202281006000001,1.285714286,1.142857143,0.083333333,0.067510549,0.28571428600000004,0.0,7,1,80,359,1.9,movements
11,11,22425,72.004868896,12.46969697,18.0,0.3125,0.16868846699999998,0.916666667,0.0,12,4,80,30,1.0,used-shelves
8,8,292,2.492785156,14.872340426,12.333333332999999,0.435185185,0.249413971,0.8888888890000001,0.0,9,2,80,118,1.3,used-shelves
2,20,244752,3600.0,0.408163265,8.285714286000001,0.41666666700000005,0.208837772,1.0,0.9,7,2,60,120,1.3,movements
2,2,6,2.462430908,8.575,0.222222222,0.34259259299999995,0.177684013,1.0,0.0,9,2,80,328,1.9,reconfigurations
8,8,2386,6.22548584,19.088888889,18.0,0.5,0.27259887,0.8888888890000001,0.0,9,2,60,109,1.3,used-shelves
74,80,3910350,3600.0,7.424242424,20.666666667,0.930555556,0.588959212,1.0,0.075,12,3,80,171,1.4,unmet-demand
3,3,436,3.723966064,6.845238095,0.25,0.5069444439999999,0.263537271,1.0,0.0,12,2,80,77,1.2,reconfigurations
17,17,61,0.851561035,7.166666667,11.571428570999998,0.94047619,0.5176311029999999,1.0,0.0,7,2,80,123,1.3,unmet-demand
128,128,0,0.199941895,6.905660377,9.428571429,1.0,0.5932203389999999,1.0,0.0,7,1,60,393,2.0,unmet-demand
